Smartphone Name,Price,Ram & Rom,Dipslay,Camera,Battery Capacity,Operating System,Star_Ratings,No of Ratings,No of Reviews
"REDMI 9i Sport (Coral Green, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor,4.4,57798,2972
"REDMI 9i Sport (Carbon Black, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor,4.4,57798,2972
"POCO C31 (Royal Blue, 64 GB)",9499,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,4.4,19012,1094
"realme C25_Y (Glacier Blue, 64 GB)",10999,4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh LiPo Battery,Unisoc T618 Processor,4.5,16054,736
"realme C25_Y (Metal Grey, 64 GB)",10999,4 GB RAM | 64 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh LiPo Battery,Unisoc T618 Processor,4.5,16054,736
"realme C25_Y (Metal Grey, 128 GB)",11999,4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh LiPo Battery,Unisoc T618 Processor,4.5,16054,736
"realme C25_Y (Glacier Blue, 128 GB)",11999,4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh LiPo Battery,Unisoc T618 Processor,4.5,16054,736
"realme C11 2021 (Cool Grey, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Octa-core Processor,4.4,160240,7334
"realme C11 2021 (Cool Blue, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Octa-core Processor,4.4,160240,7334
"REDMI 9i Sport (Metallic Blue, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor,4.4,57798,2972
"POCO C31 (Royal Blue, 32 GB)",8499,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,4.4,16927,1031
"realme C11 2021 (Cool Grey, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Octa-core Processor,4.3,138316,7848
"realme C11 2021 (Cool Blue, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Octa-core Processor,4.3,138316,7848
"realme C21Y (Cross Black, 32 GB)",9499,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,Unisoc T610 Processor,4.6,51955,1641
"realme C21Y (Cross Blue, 32 GB)",9499,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,Unisoc T610 Processor,4.6,51955,1641
"realme C21Y (Cross Blue, 64 GB)",10499,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,Unisoc T610 Processor,4.5,215306,8252
"realme C21Y (Cross Black, 64 GB)",10499,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,Unisoc T610 Processor,4.5,215306,8252
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",11499,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 850 Processor,4.2,212865,16874
"POCO C31 (Shadow Gray, 64 GB)",9499,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,4.4,19012,1094
"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",11499,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 850 Processor,4.2,212865,16874
"MOTOROLA e40 (Carbon Gray, 64 GB)",9999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,UNISOC T700 Processor,4.2,17979,2001
"OPPO A53s 5G (Ink Black, 128 GB)",17990,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,MediaTek Dimensity 700 Processor,4.3,13728,1129
"realme C25Y (Metal Grey, 64 GB)",10999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Unisoc T610 Octa Core Processor,4.5,100502,4019
"realme C25Y (Glacier Blue, 64 GB)",10999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Unisoc T610 Octa Core Processor,4.5,100502,4019
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",11499,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 850 Processor,4.2,212865,16874
"POCO M3 Pro 5G (Power Black, 64 GB)",14499,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Dimensity 700 Processor,4.3,26902,2113
"MOTOROLA g31 (Baby Blue, 64 GB)",12999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.43 cm (6.47 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh LiPo Battery,Mediatek Helio G85 Processor,4.3,4604,701
"OPPO A53s 5G (Crystal Blue, 128 GB)",17990,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,MediaTek Dimensity 700 Processor,4.3,13728,1129
"realme Narzo 50A (Oxygen Blue, 64 GB)",11549,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,4.4,236531,14823
"realme Narzo 50A (Oxygen Green, 64 GB)",11549,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,4.4,236531,14823
"POCO M3 Pro 5G (Power Black, 128 GB)",16499,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Dimensity 700 Processor,4.2,22942,1959
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",12499,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 850 Processor,4.2,212865,16874
"realme C25Y (Metal Grey, 128 GB)",12199,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Unisoc T610 Octa Core Processor,4.5,100502,4019
"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",12499,4 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.55 cm (6.515 inch) HD+ Display,48MP + 5MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 850 Processor,4.2,212865,16874
"POCO M3 Pro 5G (Cool Blue, 64 GB)",14499,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Dimensity 700 Processor,4.3,26902,2113
"realme Narzo 50A (Oxygen Blue, 128 GB)",12499,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,4.4,236531,14823
"realme Narzo 50A (Oxygen Green, 128 GB)",12499,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,MediaTek Helio G85 Processor,4.4,236531,14823
"realme 8 (Cyber Black, 128 GB)",16999,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,4.4,86335,7506
"MOTOROLA G40 Fusion (Dynamic Gray, 128 GB)",16599,6 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 8MP + 2MP | 16MP Front Camera,6000 mAh Battery,Qualcomm Snapdragon 732G Processor,4.3,37920,4107
"REDMI 9i (Sea Blue, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G25 Processor,4.3,547360,32542
"POCO C31 (Shadow Gray, 32 GB)",8499,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,4.4,16927,1031
"realme C25Y (Glacier Blue, 128 GB)",12199,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Unisoc T610 Octa Core Processor,4.5,100502,4019
"APPLE iPhone SE (Red, 128 GB)",35099,128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",4.5,144594,11387
"POCO M3 Pro 5G (Cool Blue, 128 GB)",16499,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,MediaTek Dimensity 700 Processor,4.2,22942,1959
"realme 9i (Prism Black, 128 GB)",15999,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,4.3,2237,203
"realme 9i (Prism Blue, 64 GB)",13999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,4.4,2997,286
"realme 8 (Cyber Black, 128 GB)",17999,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,4.4,83193,7410
"MOTOROLA G60 (Frosted Champagne, 128 GB)",17999,6 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,108MP + 8MP + 2MP | 32MP Front Camera,6000 mAh Battery,Qualcomm Snapdragon 732G Processor,4.2,80960,8288
"Infinix Smart 5 (Obsidian Black, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13MP + Low Light Sensor | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G25 Processor,4.3,91912,7048
"Infinix Smart 5 (Aegean Blue, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13MP + Low Light Sensor | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G25 Processor,4.3,91912,7048
"Infinix Smart 5 (7 Purple, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13MP + Low Light Sensor | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G25 Processor,4.3,91912,7048
"Infinix Smart 5 (Morandi Green, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13MP + Low Light Sensor | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio G25 Processor,4.3,91912,7048
"APPLE iPhone SE (Red, 64 GB)",30299,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",4.5,144594,11387
"Infinix Hot 11 (Silver Wave, 64 GB)",9999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,13MP + Depth Lens | 8MP Front Camera,5200 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,4.4,9445,797
"Infinix Hot 11 (Emerald Green, 64 GB)",9999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,13MP + Depth Lens | 8MP Front Camera,5200 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,4.4,9445,797
"Infinix Note 11s (Symphony Cyan, 64 GB)",13999,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.65 cm (6.95 inch) Full HD+ Display,50 MP + 2 MP Depth Lens + 2 MP Macro Lens | 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G96 Processor,4.3,3904,585
"realme 8 (Cyber Black, 128 GB)",16999,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G95 Processor,4.4,86335,7506
"MOTOROLA E7 Power (Tahiti Blue, 64 GB)",8999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.54 cm (6.51 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,5000 mAh Battery,MediaTek Helio G25 Processor,4.1,74037,6581
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",14999,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,6000 mAh Lithium-ion Battery,MediaTek Helio G80 Processor,4.3,29372,2652
"APPLE iPhone SE (White, 64 GB)",30299,64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,"Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)",4.5,144594,11387
"realme 8i (Space Black, 64 GB)",13999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G96 Processor,4.5,137144,8509
"realme 8i (Space Black, 128 GB)",15999,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Battery,MediaTek Helio G96 Processor,4.4,58175,4033
"Infinix Hot 11S (Silver Wave, 64 GB)",10999,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) Full HD+ Display,50 MP + 2 MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,Mediatek Helio G88 Processor,4.3,21072,2306
"realme 9i (Prism Blue, 128 GB)",15999,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,4.3,2237,203
"realme 9i (Prism Black, 64 GB)",13999,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,4.4,2997,286
"realme C20 (Cool Grey, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek Helio G35 Processor,4.4,250228,11884
"realme C20 (Cool Blue, 32 GB)",7499,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,MediaTek Helio G35 Processor,4.4,250228,11884
